Designator,Mid X,Mid Y,Rotation,Layer
12V,163.83,-99.06,0.0,top
C1,183.398,-68.453,180.0,top
C2,183.27,-33.655,180.0,top
C3,170.18,-80.33,270.0,top
C4,167.64,-80.33,270.0,top
C5,156.845,-89.85,90.0,top
FDC 1,128.905,-73.025,270.0,top
FDC 2,128.905,-67.31,270.0,top
J3,170.18,-62.23,180.0,top
J7,163.195,-62.23,180.0,top
LED 1,134.4675,-29.21,0.0,top
LED 2,126.5175,-89.535,180.0,top
M1,131.445,-49.53,270.0,top
M2,131.445,-43.815,270.0,top
M3,131.445,-38.1,270.0,top
PHOTORESISTOR,126.365,-58.42,90.0,top
R1,134.62,-32.385,0.0,top
R2,130.4525,-89.535,180.0,top
R4,143.7875,-59.69,180.0,top
R5,151.4875,-54.61,0.0,top
R6,151.4875,-57.15,0.0,top
R7,161.29,-80.3675,90.0,top
R8,163.83,-80.3675,270.0,top
STEPPER 1_2,191.77,-59.69,180.0,top
STEPPER 1,197.485,-54.61,180.0,top
STEPPER 2_2,197.485,-89.535,180.0,top
STEPPER 2,191.77,-94.615,180.0,top
U1,147.32,-54.61,180.0,top
U2,168.91,-85.725,180.0,top
UART,163.195,-74.93,180.0,top
